"콘텐츠ID","콘텐츠명","구군","위도","경도","장소","제목","부제목","주요장소","주소","주소 기타 ","연락처","홈페이지","교통정보","운영일","휴무일","운영 및 시간","이용요금","편의시설","이미지URL","썸네일이미지URL","상세내용"
"412","자갈치시장","중구","35.096664","129.03055","자갈치시장","오이소! 보이소! 사이소! 자갈치시장","부산 바다가 입 안 가득","자갈치시장","부산광역시 중구 자갈치해안로 52","-","070-5226-1483","http://jagalchimarket.kr/","도시철도 1호선 남포역 2번 출구, 자갈치역 1번 출구 도보 6분버스 27, 41, 5-1, 61, 113, 30, 6, 7, 71, 86 자갈치시장, 신동아시장 하차","-","매월 1,3주 화요일","02:00~22:00","가게별 상이","장애인 화장실, 장애인용 엘리베이터, 장애인 주차구역, 휠체어접근 가능, 저상버스접근 가능","https://www.visitbusan.net/uploadImgs/files/cntnts/20191230201107580_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191230201107580_thumbL","‘오이소! 보이소! 사이소!’ 한 번은 들어봤을 이 말은 바로 자갈치시장을 나타내는 유명한 문구다. 인근에 위치한 국제시장, 부평깡통시장과 함께 부산을 대표하는 전통시장 자갈치시장. 한국 최대 어시장 중 하나인 자갈치시장의 싱싱함 속으로 들어가 보자.바닷가에 주먹만 한 자갈들이 있어서 붙은 이름 자갈치시장은 일제강점기 때부터 수산물을 파는 노점들이 형성되어 있었다. 한국전쟁을 계기로 수많은 피란민들이 부산으로 몰리면서 자갈치 주변 해안가에는 판자로 지은 집들이 다닥다닥 붙어서 생겨났다. 생계를 위해 자갈치에서 생선을 파는 노점들이 우후죽순 생겨나면서 자연스럽게 대규모 수산물 시장이 생겨났고, 현재의 자갈치시장을 이루었다.남포동 대로변을 건너 짭조름한 바다내음을 따라 발길을 옮겨보니 길 하나를 건넜을 뿐인데 타임머신을 타고 과거의 한 시점으로 건너 온 듯, 좁은 길목에 줄지어 선 형형색색의 파라솔과 그 아래 해산물, 그리고 어디에선가 들리는 뱃고동 소리와 파도 소리가 마른 가슴에 생기를 불어넣는다.빨갛고 파란 고무 대야에 담겨있는 생선과 조개, 그리고 바구니에 나란히 누워있는 큼직한 문어가 피어오르는 공기방울과 함께 꾸물꾸물 춤을 춘다. 심지어 랍스터, 백상아리, 새끼상어, 개복치, 그리고 사람 몸통만한 오징어 등을 보고 있으면 ‘자갈치시장이 진짜 부산이로구나.’하는 생각이 든다.자갈치시장은 에너지 넘치는 야외의 전통시장과 깔끔하고 정갈한 실내 현대시장으로 구분된다. 새벽에 찾은 야외의 전통시장은 또 다른 활기로 우리를 반겨준다. 잘 말린 건어물의 깔끔함과 갓 잡은 활어의 파닥거림 속에서 진한 바다향이 전해진다. 분주한 몸짓으로 새벽을 여는 상인들의 모습에서 살아있는 자갈치를 느낀다. 삶의 활력을 잠시 잃었다면 새벽 자갈치시장의 생동을 느껴보는 것도 좋겠다.새롭게 정돈된 가게들과 아직 옛 모습을 간직한 가게들이 혼재하는 실내 현대시장은 바둑판처럼 정돈된 블록을 따라 수조마다 팔딱팔딱 튀어 오르는 생선들로 가득하다. 잘 생긴 놈으로 한 마리 골라잡고 지나가는 손님을 부르는 자갈치 아지매의 목소리가 정겹다.도심에서 바다를 보면서 갓 잡아온 생선회를 먹을 수 있는 곳이 부산 말고 또 있을까? 수평선이 보이는 남해바다를 반찬 삼아 싱싱한 회 한 점과 노릇노릇 잘 구워진 생선구이, 그리고 얼큰하게 끓어낸 매운탕을 함께 한다면 자갈치시장과 부산 바다가 우리 입 안에 가득할 것이다."
"413","광복로패션거리","중구","35.098682","129.03531","광복로패션거리","부산 최대 쇼핑거리 광복로패션거리","다양한 패션 센터와 음식점이 가득한 쇼핑명소","광복로패션거리","부산광역시 중구 광복로","-","-","-","도시철도 1호선 남포역 3번 출구 도보 5분버스 6, 8, 11, 15, 17, 61, 70, 86, 87, 103, 113, 126 남포동 하차주차 인근 공영주차장","-","연중무휴","상시(가게별 상이)","가게별 상이","광복동 주민센터 내 장애인 화장실","https://www.visitbusan.net/uploadImgs/files/cntnts/20191230201722863_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191230201722863_thumbL","부산이 간직한 매력 중 하나는 다양한 문화 거리들이 구석구석 자리하고 있다는 점이다. 관광지로도 유명한 부산 중구 광복로 패션거리를 소개 한다.가만 보니 패션거리 이름에 ‘광복’이란 단어가 들어간다. 시작부터 예사롭지 않은 사연이 있는 것 같다. 광복로는 바로 부산 앞 바다와 인접해 있다. 그러다 보니 일제강점기 수탈의 현장이자 항일독립운동의 열망이 뜨거웠던 장소였다고 한다. 해방 이후 부산 사람들은 해방의 기쁨과 항일 의식을 잊지 않기 위해 중구 한 동네에 광복동이라 이름을 붙였다. 패션거리가 광복로가 된 사연이다.광복로 패션거리는 한국투자신탁에서 구 미화당백화점을 지나 대청동 부산근대역사관과 국제시장 입구까지 이어진다. 이 거리에는 예쁜 디자인의 생활한복 판매 매장부터 안경, 스포츠 의류, 아웃도어 용품, 하이패션 브랜드, 노브랜드 의류 등 다 나열할 수 없을 정도로 다양한 제품들을 취급하는 점포들이 들어서 있다. 거리를 걷다 보면 마치 패션의 종합선물세트를 만난 기분이 들 정도다.광복로는 매일 활기로 넘친다. 거리에는 다양한 나라에서 부산을 방문한 관광객이 눈에 띈다. 그도 그럴 것이 부산을 방문한 외국인 관광객들에게 쇼핑 1번지로 이 거리만한 곳이 없다. 거리 곳곳을 채우고 있는 우리 토종브랜드와 개성 강한 편집샵 등을 둘러보며 한국의 패션 경쟁력에 엄지손가락을 치켜세우는 외국인들을 보는 건 이제 흔한 일이 되고 있다. 특히 광복로에는 젊은 층에서부터 노년층까지 다양한 세대를 포용할 수 있는 힘이 있다. 그만큼 전 연령층을 아우르는 여러 점포들이 있기에 가능한 이야기다.광복로를 걷다보면 용두산공원으로 올라가는 에스컬레이터가 눈에 들어온다. 길이 87m에 이르는 긴 구간을 따라 골목의 정겨운 풍경들을 볼 수 있고 천정과 벽면 부분에 설치된 다양한 네온사인을 보는 재미도 쏠쏠하다. 중구의 대표 관광지와 랜드마크를 네온사인과 LED화면으로 만나는 건 이 길만의 또 다른 매력이다.패션거리는 대청동에 위치하고 있는 부산근대역사관으로 이어진다. 이곳은 일제 강점기 동양척식주식회사 부산 지점이 있던 건물로 현재는 역사박물관으로 운영되고 있다. 근처에는 자갈치시장과 국제시장, 깡통시장, 만물의 거리, 먹자골목, BIFF광장, 용두산공원 등 다른 중구 관광지와 인접해 있어 관광을 마치고 패션 거리로 발걸음을 옮기는 관광객들이 많다.부산 관광 명소 중구에 위치한 광복로는 많은 관광객뿐만 아니라 부산 시민들에게도 사랑받는 젊음과 패션의 거리다. 부산의 근현대사와 다양한 볼거리 그리고 멋과 낭만을 느낄 수 있는 중구 쇼핑천국 광복로 패션거리를 적극 추천한다."
"422","동래시장","동래구","35.20391","129.08588","동래시장","동래여행의 깨알 즐거움, 동래시장","-","동래시장","부산광역시 동래구 동래시장길 14","-","051-552-1651","-","도시철도 4호선 수안역 7번 출구 도보 5분버스 100, 110-1, 동래구2 동래시장 하차주차 동래시장 공영주차장(유료)","-","매월 1,3주 일요일","08:00 ~ 22:00(가게별 상이)","가게별 상이","휠체어접근 가능구간 있음","https://www.visitbusan.net/uploadImgs/files/cntnts/20191230210800496_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191230210800496_thumbL","2층짜리 깔끔한 현대식 건물인 동래시장의 나이는 벌써 250살. 조선시대 부산지역 최대 5일장이었던 동래장터가 현재까지 동래에서 가장 큰 규모를 자랑하는 전통시장으로 이어지고 있다.시장 내 점포들도 오랜 기간 전통을 유지해 온 집들이 많다. 건물 바깥쪽을 둘러싼 한약재상, 가격을 좀처럼 올리지 않는 식당가, 애교로 흥정이 가능한 패션잡화 등 대부분의 가게가 최소 40 ~ 50년 경력을 자랑한다.가격 저렴, 상품 고퀄, 소문난 맛집 하면 동래시장!"
"460","서면 & 삼정타워","부산진구","35.157944","129.06","서면 그리고 삼정타워","부산 다운타운의 진수, 서면 그리고 삼정타워","-","서면 그리고 삼정타워","부산광역시 부산진구 서면 일대","-","-","-","도시철도 1호선, 2호선 2번 출구버스 108, 138, 160, 167, 168, 169-1, 67, 68, 17, 23, 66 서면 하차주차 인근 공영주차장","-","연중무휴","상시","가게별 상이","-","https://www.visitbusan.net/uploadImgs/files/cntnts/20191231194308011_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191231194308011_thumbL","부산 최대 다운타운은 당연히 서면 되시겠다. 남녀노소, 내?외국인 할 것 없이 범글로벌 번화가의 상징이자 쇼핑의 성지이다. 놀거리, 먹거리, 즐길거리 가득한 서면엔 낮이나 밤이나 북적이는 사람들로 요리조리 잘 피해 걸어야 한다.이런 서면에서 최근 랜드마크로 떠오른 삼정타워. 16층을 꽉 채워서 유명 맛집과 커피점, 푸드트럭존, 키즈카페, 놀이테마파크, 영화관 등 타워 안에서 하루 계획을 모두 해결할 수 있는 복합문화공간이 인기 폭발 중!"
"504","면세점","부산진구","35.156605","129.05595","면세점","해외여행의 꽃, 면세점","-","부산롯데면세점, 부산신세계면세점, 용두산면세점, 김해공항롯데면세점","-","-","-","-","-","-","-","-","-","장애인 주차구역, 장애인 화장실, 엘리베이터, 휠체어접근 가능","https://www.visitbusan.net/uploadImgs/files/cntnts/20200102134544560_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200102134544560_thumbL","신세계면세점 부산점부산의 관광휴양지 해운대 센텀시티에 위치해 해운대를 비롯한 동부산권 인기 관광지를 구경하며 럭셔리한 면세쇼핑을 즐길 수 있다.전화 1661-8778홈페이지 <a href=""https://www.shinsegaedf.com/store/kr/bsStore/"" target=""_blank"" alt=""새창열림"" class=""link-style1"">https://www.shinsegaedf.com/store/kr/bsStore</a>주소 부산광역시 해운대구 센텀4로 15 신세계 센텀시티몰 B1/1F이용시간 11:00~20:00(연중무휴)롯데면세점 부산점부산 관광쇼핑의 중심 서면에 자리하고 있다. 호텔, 백화점, 레스토랑, 영화관이 한곳에 어우러져 면세점과 함께 관광, 휴식, 쇼핑을 동시에 즐길 수 있다.전화 051-810-3880홈페이지 <a href=""https://kr.lottedfs.com/branchGuide/5/intro"" target=""_blank"" alt=""새창열림"" class=""link-style1""> https://kr.lottedfs.com/branchGuide/5/intro</a>주소 부산광역시 부산진구 가야대로 772 롯데백화점 부산점 8층이용시간 09:30~20:00(연중무휴)롯데면세점 김해공항점100여개의 다양한 브랜드가 입점해 있어 김해공항을 이용하는 여행자들에게 즐거운 면세 쇼핑을 제공한다. 전화 051-979-1900~1홈페이지 <a href=""https://kr.lottedfs.com/branchGuide/9/intro"" target=""_blank"" alt=""새창열림"" class=""link-style1""> https://kr.lottedfs.com/branchGuide/9/intro</a>주소 부산광역시 강서구 공항진입로 108 김해공항 국제청사 2층이용시간 06:30~21:30(연중무휴)부산면세점 용두산점용두산공원 부산타워에 위치한 부산면세점은 남포동, 국제시장 등 시내 주요 관광지와 근접해 있어 편리한 면세점 이용이 가능하며, 특히 부산만의 특화된 브랜드를 구입할 수 있는 면세점이다.전화  051-460-1900주소 부산광역시 중구 용두산길 37-55이용시간 09:30~18:30(연중무휴)"
"505","백화점","부산진구","35.156654","129.05635","백화점","부산 백화점에 놀러가자!","-","롯데백화점부산본점, 롯데백화점광복점, 롯데백화점센텀시티점, 롯데백화점동래점, 신세계백화점센텀시티점, 현대백화점부산점","-","-","-","-","-","-","-","-","-","장애인 주차구역, 장애인 화장실, 엘리베이터, 휠체어접근 가능","https://www.visitbusan.net/uploadImgs/files/cntnts/20200207111353905_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200207111353905_thumbL","<p class=""font-size28 colorDarkBlue medium"">롯데백화점</p>부산본점을 비롯하여 시내 주요 지역에 3개의 지점이 운영 중이다. 모든 지점이 교통의 요지에 위치하여 관광과 쇼핑의 편리함을 충족시킨다.<p class=""font-size20 colorDarkBlue medium"">부산본점</p>전화 051-810-2500홈페이지 <a href=""https://www.lotteshopping.com/branchShopGuide/floorGuideSub?cstr=0005"" target=""_blank"" alt=""새창열림"" class=""link-style1"">https://www.lotteshopping.com/branchShopGuide/floorGuideSub?cstr=0005</a>주소 부산광역시 부산진구 가야대로 772이용시간 10:30~20:00(월1회 휴점)<p class=""font-size20 colorDarkBlue medium"">광복점</p>전화 051-678-2500홈페이지 <a href=""https://www.lotteshopping.com/branchShopGuide/floorGuideSub?cstr=0333"" target=""_blank"" alt=""새창열림"" class=""link-style1"">https://www.lotteshopping.com/branchShopGuide/floorGuideSub?cstr=0333</a>주소 부산광역시 중구 중앙대로 2이용시간 10:30~20:00(월1회 휴점)<p class=""font-size20 colorDarkBlue medium"">센텀시티점</p>전화 051-730-2500홈페이지 <a href=""https://www.lotteshopping.com/branchShopGuide/floorGuideSub?cstr=0027"" target=""_blank"" alt=""새창열림"" class=""link-style1"">https://www.lotteshopping.com/branchShopGuide/floorGuideSub?cstr=0027</a>주소 부산광역시 해운대구 센텀남대로 59이용시간 10:30~20:00(월1회 휴점)<p class=""font-size20 colorDarkBlue medium"">동래점</p>전화 051-605-2500홈페이지 <a href=""https://www.lotteshopping.com/branchShopGuide/floorGuideSub?cstr=0016"" target=""_blank"" alt=""새창열림"" class=""link-style1"">https://www.lotteshopping.com/branchShopGuide/floorGuideSub?cstr=0016</a>주소 부산광역시 동래구 중앙대로1393이용시간 10:30~20:00(월1회 휴점)<p class=""font-size28 colorDarkBlue medium"">신세계백화점 센텀시티점</p>해운대 센텀시티에 위치한 신세계 백화점은 만남과 휴식을 테마로 하는 편안한 쇼핑공간을 지향한다. 외국인을 위한 환전, 통역, 세금환급 서비스 등을 제공해 글로벌 쇼핑의 편리함도 추구한다.전화  1588-1234홈페이지 <a href=""https://www.shinsegae.com/store/main.do?storeCd=SC00008 "" target=""_blank"" alt=""새창열림"" class=""link-style1"">https://www.shinsegae.com/store/main.do?storeCd=SC00008</a>주소 부산광역시 해운대구 센텀남대로 35 / 센텀4로 15이용시간 11:00~20:00(월1회 휴점)<p class=""font-size28 colorDarkBlue medium"">현대백화점 부산점</p>1995년 개점하여 부산의 대표적인 명품 백화점으로 자리매김하였다. 2019년 대대적인 리뉴얼공사를 진행함으로써 쾌적한 쇼핑환경 제공은 물론 고객친화적 공간으로 새롭게 탈바꿈하였다. 고객을 위한 편의시설이 잘 마련되어 있고 그에 걸맞은 고품격 서비스로 고객들의 만족을 추구한다.전화 051-667-2233홈페이지<a href=""http://www.ehyundai.com/newPortal/DP/DP000000_V.do?branchCd=B00124000 "" target=""_blank"" alt=""새창열림"" class=""link-style1"">http://www.ehyundai.com/newPortal/DP/DP000000_V.do?branchCd=B00124000</a>주소 부산광역시 동구 범일로 125이용시간 10:30~20:00(월1회 휴점)<p class=""font-size28 colorDarkBlue medium"">NC백화점</p>백화점과 아울렛의 중간 형태를 유지하며 패션과 외식 분야 높은 인지도를 바탕으로 젊은 고객층의 인기를 얻고 있다. 각 지점에 따라 편의시설과 고객 휴게시설, 문화센터, 공연시설 등을 갖추고 있다.<p class=""font-size20 colorDarkBlue medium"">서면점</p>전화 051-794-7000홈페이지  <a href=""https://www.elandretail.com/store01.do?branchID=00110044"" target=""_blank"" alt=""새창열림"" class=""link-style1"">https://www.elandretail.com/store01.do?branchID=00110044</a>주소 부산광역시 부산진구 동천로 92이용시간 월~목 10:30~21:00 / 금~일 10:30~22:00(월1회 휴점)<p class=""font-size20 colorDarkBlue medium"">해운대점</p>전화 051-862-2001홈페이지 <a href=""https://www.elandretail.com/store01.do?branchID=00110040&lang=000600KO"" target=""_blank"" alt=""새창열림"" class=""link-style1"">https://www.elandretail.com/store01.do?branchID=00110040&lang=000600KO</a>주소 부산광역시 해운대구 해운대로 813이용시간 월~목 10:30~21:00 / 금~일 10:30~22:00(월1회 휴점)<p class=""font-size20 colorDarkBlue medium"">부산대점</p>전화 051- 509-7000홈페이지 <a href=""https://www.elandretail.com/store01.do?branchID=00110038&lang=000600KO"" target=""_blank"" alt=""새창열림"" class=""link-style1"">https://www.elandretail.com/store01.do?branchID=00110038&lang=000600KO</a>주소 부산광역시 금정구 부산대학로 63번길 2이용시간 월~목 10:30~21:00 / 금~일 10:30~22:00(월1회 휴점)"
"506","롯데프리미엄아울렛 동부산점","기장군","35.191364","129.21237","롯데프리미엄아울렛 동부산점","쇼핑가서 재미있게 놀자! 롯데프리미엄아울렛 동부산점","-","롯데프리미엄아울렛 동부산점","부산광역시 기장군 기장읍 당사리 64","-","051-901-2500","https://www.lotteshopping.com/branchShopGuide/floorGuideSub?cstr=0352","동해선 오시리아역 1번 출구 도보 17분버스 100, 181, 185, 해운대구9 롯데아울렛(동부산관광단지) 하차 도보 7분주차 롯데아울렛 주차장","매일","연중 2회","10:30~21:00","매장별 상이","엘리베이터, 휠체어접근 가능, 장애인 주차구역, 장애인 화장실","https://www.visitbusan.net/uploadImgs/files/cntnts/20200102140051300_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200102140051300_thumbL","하얀색과 파란색이 조화를 이룬 시원스런 외관과 등대 모양의 전망대는 롯데프리미엄아울렛 동부산점의 랜드마크다.500개가 넘는 국내외 유명 브랜드가 입점해 있고, 놀이동산처럼 큰 규모는 아니지만 아이들과 즐겁게 시간을 보낼 수 있는 키즈테마파크도 있다. 널찍한 면적에 충분한 휴게시설과 아름다운 야외조경을 갖추고 있어 쇼핑의 색다른 즐거움을 선사한다."
"537","롯데면세점 부산점","부산진구","35.15664","129.05534","롯데면세점 부산점","롯데면세점 부산점","-","롯데면세점 부산점","부산광역시 부산진구 가야대로 772 롯데백화점 부산점 8층","-","051-810-3880","https://kr.lottedfs.com/branchGuide/5/intro","도시철도 1호선, 2호선 서면역 하차, 지하 연결통로 롯데백화점 입구방향 도보 3분버스 8, 138, 167, 168, 17, 23, 67, 68, 1000, 1004 롯데호텔백화점 하차 보도 3분주차 롯데백화점 주차장","-","연중무휴","09:30~20:00","매장별 상이","장애인 주차구역, 장애인 화장실, 엘리베이터, 휠체어접근 가능","https://www.visitbusan.net/uploadImgs/files/cntnts/20200204115933806_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200204115933806_thumbL","부산 관광쇼핑의 중심 서면에 자리하고 있다. 호텔, 백화점, 레스토랑, 영화관이 한곳에 어우러져 면세점과 함께 관광, 휴식, 쇼핑을 동시에 즐길 수 있다."
"538","신세계면세점 부산점","해운대구","35.169636","129.12808","신세계면세점 부산점","신세계면세점 부산점","-","신세계면세점 부산점","부산광역시 해운대구 센텀4로 15 신세계 센텀시티몰 B1/1F","-","1661-8778","https://www.shinsegaedf.com/store/kr/bsStore","도시철도 2호선 센텀시티역 10번, 12번 출구 도보 8분버스 5-1, 39, 40, 63, 141, 155 신세계센텀시티 하차 도보 7분주차 신세계 센텀시티몰 주차장","-","연중무휴","11:00~18:00","매장별 상이","장애인 주차구역, 장애인 화장실, 엘리베이터, 휠체어접근 가능","https://www.visitbusan.net/uploadImgs/files/cntnts/20200204171107886_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200204171107886_thumbL","부산의 관광휴양지 해운대 센텀시티에 위치해 해운대를 비롯한 동부산권 인기 관광지를 구경하며 럭셔리한 면세쇼핑을 즐길 수 있다."
"539","부산면세점 용두산점","중구","35.101048","129.03249","부산면세점 용두산점","부산면세점 용두산점","-","부산면세점 용두산점","부산광역시 중구 용두산길 37-55","-","051-460-1900","-","도시철도 1호선 중앙영 1번 출구 도보 6분버스 126, 15, 186, 81, 86 백산기념관?영화체험박물관 하차 도보 6분주차 용두산 공영주차장","-","연중무휴","09:30~18:30","매장별 상이","장애인 주차구역, 장애인 화장실, 엘리베이터, 휠체어접근 가능","https://www.visitbusan.net/uploadImgs/files/cntnts/20200204175104893_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200204175104893_thumbL","용두산공원 부산타워에 위치한 부산면세점은 남포동, 국제시장 등 시내 주요 관광지와 근접해 있어 편리한 면세점 이용이 가능하며, 특히 부산만의 특화된 브랜드를 구입할 수 있는 면세점이다."
"540","롯데면세점 김해공항점","강서구","35.173695","128.94626","롯데면세점 김해공항점","롯데면세점 김해공항점","-","롯데면세점 김해공항점","부산광역시 강서구 공항진입로 108 김해공항 국제청사 2층","-","051-979-1900~1","https://kr.lottedfs.com/branchGuide/9/intro","부산김해경전철 공항역 1번 출구 도보 5분버스 307, 1009, 강서구11, 강서구13 국제선청사 하차 도보 3분주차 김해국제공항 국제선 여객주차장","-","연중무휴","06:30~21:30","매장별 상이","장애인 주차구역, 장애인 화장실, 엘리베이터, 휠체어접근 가능","https://www.visitbusan.net/uploadImgs/files/cntnts/20200207150233726_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200207150233726_thumbL","100여개의 다양한 브랜드가 입점해 있어 김해공항을 이용하는 여행자들에게 즐거운 면세 쇼핑을 제공한다."
"541","롯데백화점 부산본점","부산진구","35.15665","129.05655","롯데백화점 부산본점","롯데백화점 부산본점","-","롯데백화점 부산본점","부산광역시 부산진구 가야대로 772","-","051-810-2500","https://www.lotteshopping.com/branchShopGuide/floorGuideSub?cstr=0005","도시철도 1호선, 2호선 서면역 하차, 지하 연결통로 롯데백화점 입구방향 도보 3분버스 8, 138, 167, 168, 17, 23, 67, 68, 1000, 1004 롯데호텔백화점 하차 보도 3분주차 롯데백화점 주차장","-","월1회 휴점","10:30~20:00","매장별 상이","장애인 주차구역, 장애인 화장실, 엘리베이터, 휠체어접근 가능","https://www.visitbusan.net/uploadImgs/files/cntnts/20200214134014426_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200214134014426_thumbL","부산본점을 비롯하여 시내 주요 지역에 3개의 지점이 운영 중이다. 모든 지점이 교통의 요지에 위치하여 관광과 쇼핑의 편리함을 충족시킨다."
"545","롯데백화점 광복점","중구","35.098164","129.03685","롯데백화점 광복점","롯데백화점 광복점","-","롯데백화점 광복점","부산광역시 중구 중앙대로 2","-","051-678-2500","https://www.lotteshopping.com/branchShopGuide/floorGuideSub?cstr=0333","도시철도 1호선 남포역 하차, 8번 출구방향 지하 연결통로 이용 도보 2분버스 186, 190, 508, 66, 82, 85 영도대교 하차 도보 3분주차 롯데백화점 광복점 주차장","-","월1회 휴점","10:30~20:00","매장별 상이","장애인 주차구역, 장애인 화장실, 엘리베이터, 휠체어접근 가능","https://www.visitbusan.net/uploadImgs/files/cntnts/20200205153955629_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200205153955629_thumbL","부산본점을 비롯하여 시내 주요 지역에 3개의 지점이 운영 중이다. 모든 지점이 교통의 요지에 위치하여 관광과 쇼핑의 편리함을 충족시킨다."
"546","롯데백화점 센텀시티점","해운대구","35.169735","129.13115","롯데백화점 센텀시티점","롯데백화점 센텀시티점","-","롯데백화점 센텀시티점","부산광역시 해운대구 센텀남대로 59","-","1577-0001","https://www.lotteshopping.com/branchShopGuide/floorGuideSub?cstr=0027","도시철도 2호선 센텀시티역 하차, 지하 연결통로 이용 도보 2분버스 115, 181, 307 롯데백화점 센텀시티점 하차주차 롯데백화점 센텀시티점 주차장","-","월1회 휴점","10:30~20:00","매장별 상이","장애인 주차구역, 장애인 화장실, 엘리베이터, 휠체어접근 가능","https://www.visitbusan.net/uploadImgs/files/cntnts/20200207110846432_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200207110846432_thumbL","부산본점을 비롯하여 시내 주요 지역에 3개의 지점이 운영 중이다. 모든 지점이 교통의 요지에 위치하여 관광과 쇼핑의 편리함을 충족시킨다."
"547","롯데백화점 동래점","동래구","35.211323","129.07771","롯데백화점 동래점","롯데백화점 동래점","-","롯데백화점 동래점","부산광역시 동래구 중앙대로1393","-","051-605-2500","https://www.lotteshopping.com/branchShopGuide/floorGuideSub?cstr=0016","도시철도 1호선 명륜역 1,5번 출구 명륜역 육교 연결통로 롯데백화점 동래점 방향 도보 5분버스 100-1, 111-1, 121, 144, 148-1, 189, 210 롯데백화점 동래점 하차 도보 3분주차 롯데백화점 동래점 주차장","-","월1회 휴점","10:30~20:00","매장별 상이","장애인 주차구역, 장애인 화장실, 엘리베이터, 휠체어접근 가능","https://www.visitbusan.net/uploadImgs/files/cntnts/20200207111009687_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200207111009687_thumbL","부산본점을 비롯하여 시내 주요 지역에 3개의 지점이 운영 중이다. 모든 지점이 교통의 요지에 위치하여 관광과 쇼핑의 편리함을 충족시킨다."
"548","신세계백화점 센텀시티점","해운대구","35.168625","129.12907","신세계백화점 센텀시티점","신세계백화점 센텀시티점","-","신세계백화점 센텀시티점","부산광역시 해운대구 센텀남대로 35 / 센텀4로 15","-","1588-1234","https://www.shinsegae.com/store/main.do?storeCd=SC00008","도시철도 2호선 센텀시티역 하차, 지하 연결통로 이용 도보 2분버스 141, 155, 39, 40, 5-1, 63 신세계센텀시티 하차 도보 4분주차 신세계백화점 센텀시티점 주차장","-","월1회 휴점","11:00~20:00","매장별 상이","장애인 주차구역, 장애인 화장실, 엘리베이터, 휠체어접근 가능","https://www.visitbusan.net/uploadImgs/files/cntnts/20200205165858664_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200205165858664_thumbL","해운대 센텀시티에 위치한 신세계 백화점은 만남과 휴식을 테마로 하는 편안한 쇼핑공간을 지향한다. 외국인을 위한 환전, 통역, 세금환급 서비스 등을 제공해 글로벌 쇼핑의 편리함도 추구한다."
"549","현대백화점 부산점","동구","35.141224","129.05864","현대백화점 부산점","현대백화점 부산점","-","현대백화점 부산점","부산광역시 동구 범일로 125","-","051-667-2233","http://www.ehyundai.com/newPortal/DP/DP000000_V.do?branchCd=B00124000","도시철도 1호선 범일역 하차, 지하 연결통로 이용 도보 2분버스 101, 111, 134, 168, 22, 27, 40, 42, 57, 583, 68, 80, 83-1, 99 자유시장 하차 도보 4분주차 현대백화점 부산점 주차장","-","월1회 휴점","10:30 ~ 20:00","매장별 상이","장애인 주차구역, 장애인 화장실, 엘리베이터, 휠체어접근 가능","https://www.visitbusan.net/uploadImgs/files/cntnts/20200207111105387_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200207111105387_thumbL","1995년 개점하여 부산의 대표적인 명품 백화점으로 자리매김하였다. 2019년 대대적인 리뉴얼공사를 진행함으로써 쾌적한 쇼핑환경 제공은 물론 고객친화적 공간으로 새롭게 탈바꿈하였다. 고객을 위한 편의시설이 잘 마련되어 있고 그에 걸맞은 고품격 서비스로 고객들의 만족을 추구한다."
